(14598, 407, -2529, -6982) (511, 326, 1801)
(14597, 428, -2535, -6982) (497, 351, 1804)
(14596, 437, -2537, -6984) (502, 339, 1803)
(14595, 433, -2529, -6987) (478, 301, 1843)
(14595, 433, -2528, -6987) (486, 332, 1888)
(14597, 438, -2529, -6984) (490, 339, 1855)
(14599, 442, -2528, -6980) (483, 313, 1827)
(14600, 451, -2530, -6976) (491, 352, 1832)
(14601, 459, -2528, -6974) (484, 379, 1813)
(14602, 456, -2520, -6975) (464, 360, 1844)
(14603, 450, -2515, -6976) (487, 336, 1842)
(14603, 455, -2514, -6975) (495, 348, 1820)
(14604, 461, -2511, -6974) (494, 373, 1807)
(14605, 465, -2506, -6974) (491, 369, 1805)
(14606, 464, -2498, -6974) (482, 353, 1810)
(14608, 463, -2491, -6972) (484, 356, 1798)
(14611, 464, -2485, -6969) (474, 364, 1805)
(14614, 467, -2480, -6964) (464, 376, 1806)
(14617, 468, -2477, -6958) (478, 354, 1802)
pose Pose.FIST
(14621, 467, -2475, -6952) (478, 352, 1797)
(14624, 471, -2474, -6945) (476, 358, 1789)
(14627, 471, -2472, -6939) (470, 347, 1795)
(14631, 474, -2472, -6931) (462, 345, 1795)
(14634, 480, -2472, -6924) (450, 344, 1797)
(14638, 480, -2470, -6916) (440, 324, 1832)
(14641, 486, -2475, -6907) (460, 325, 1809)
(14645, 492, -2478, -6898) (457, 328, 1809)
(14649, 495, -2480, -6888) (463, 331, 1825)
(14653, 496, -2478, -6880) (460, 316, 1848)
(14658, 497, -2474, -6872) (445, 304, 1853)
(14663, 502, -2471, -6862) (445, 316, 1856)
(14668, 505, -2463, -6853) (437, 312, 1863)
(14673, 508, -2453, -6845) (435, 320, 1869)
(14678, 509, -2444, -6839) (434, 309, 1837)
(14681, 509, -2437, -6834) (444, 331, 1850)
(14683, 506, -2431, -6833) (451, 327, 1849)
(14683, 506, -2431, -6833) (453, 325, 1844)
(14683, 506, -2430, -6833) (450, 319, 1838)
(14683, 506, -2430, -6833) (448, 339, 1841)
(14683, 506, -2430, -6833) (456, 346, 1829)
(14683, 501, -2429, -6833) (445, 332, 1817)
(14685, 496, -2425, -6831) (452, 296, 1862)
(14695, 500, -2417, -6812) (496, 58, 1771)
(14700, 562, -2435, -6789) (521, 112, 1623)
(14692, 681, -2471, -6783) (462, 767, 1679)
(14694, 723, -2456, -6779) (470, 767, 1791)
(14712, 641, -2419, -6761) (452, 187, 1889)
(14736, 705, -2432, -6699) (412, -126, 1830)
(14744, 943, -2527, -6615) (402, 756, 2106)
(14738, 1032, -2610, -6583) (275, 769, 2129)
(14730, 1050, -2663, -6577) (102, 265, 2159)
(14745, 1090, -2755, -6498) (610, -388, 1515)
(14713, 1284, -2942, -6453) (1169, 316, 1367)
(14670, 1511, -2982, -6484) (-62, 1548, 1710)
(14669, 1399, -2949, -6527) (334, 971, 1474)
(14678, 1158, -2871, -6589) (656, 351, 2004)
(14690, 1104, -2839, -6584) (532, -257, 1851)
(14689, 1272, -2900, -6529) (560, 711, 1682)
(14682, 1375, -2916, -6516) (416, 1074, 1535)
(14692, 1331, -2877, -6521) (503, 612, 1729)
pose Pose.WAVE_IN
(14701, 1271, -2840, -6529) (497, 474, 1905)
(14702, 1265, -2839, -6529) (570, 257, 1802)
